#,weighting,preprocessing,queries,docs_retrieved,docs_relevant,docs_relevant_retrieved,precision,recall,fmeasure,,,,,,,,,,,,,,,,,,,,,
1,binary,none,64,640,796,82,0.13,0.1,0.11,,,,precision,recall,f-measure,retrieved relevant,,,,,,,,,,,,,,
2,binary,stoplist,64,640,796,88,0.14,0.11,0.12,,,Binary,0.13,0.1,0.11,82,,,,,,,,,,,,,,
3,binary,stemming,64,640,796,87,0.14,0.11,0.12,,,TF,0.09,0.07,0.08,58,,,,,,,,,,,,,,
4,binary,stemming & stoplist,64,640,796,110,0.17,0.14,0.15,,,TFIDF,0.13,0.1,0.11,82,,,,,,,,,,,,,,
5,tf,none,64,640,796,58,0.09,0.07,0.08,,,,,,,,,,,,,,,,,,,,,
6,tf,stoplist,64,640,796,88,0.14,0.11,0.12,,,stoplist,,,,,,,,,,,,,,,,,,
7,tf,stemming,64,640,796,74,0.12,0.09,0.1,,,,precision,recall,f-measure,retrieved relevant,,,,,,,,,,,,,,
8,tf,stemming & stoplist,64,640,796,101,0.16,0.13,0.14,,,Binary,0.14,0.11,0.12,88,,,,,,,,,,,,,,
9,tfidf,none,64,640,796,82,0.13,0.1,0.11,,,TF,0.14,0.11,0.12,88,,,,,,,,,,,,,,
10,tfidf,stoplist,64,640,796,102,0.16,0.13,0.14,,,TFIDF,0.16,0.13,0.14,102,,,,,,,,,,,,,,
11,tfidf,stemming,64,640,796,110,0.17,0.14,0.15,,,,,,,,,,,,,,,,,,,,,
12,tfidf,stemming & stoplist,64,640,796,115,0.18,0.14,0.16,,,stemming,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,precision,recall,f-measure,retrieved relevant,,,,,,,,,,,,,,
,,,,,,,,,,,,Binary,0.14,0.11,0.12,87,,,,,,,,,,,,,,
,,,,,,,,,,,,TF,0.12,0.09,0.1,74,,,,,,,,,,,,,,
,,,,,,,,,,,,TFIDF,0.17,0.14,0.15,110,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,stoplist and stemming,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,precision,recall,f-measure,retrieved relevant,,,,,,,,,,,,,,
,,,,,,,,,,,,Binary,0.17,0.14,0.15,110,,,,,,,,,,,,,,
,,,,,,,,,,,,TF,0.16,0.13,0.14,101,,,,,,,,,,,,,,
,,,,,,,,,,,,TFIDF,0.18,0.14,0.16,115,,,,,,,,,,,,,,
